league_id,league_name,league_type,country,country_code,seasons,num_seasons,season_category,total_seasons_country,season_share,total_seasons_type,season_share_type
588,National League,League,Myanmar,MM,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2022, 2023, 2024, 2025]",14,High,14,1,1213,0.011541632316570486
591,Pro League,League,Trinidad-And-Tobago,TT,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2023, 2024, 2025, 2026]",13,High,13,1,1213,0.010717230008244023
335,Cup,Cup,Ukraine,UA,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025]",14,High,59,0.23728813559322035,199,0.070351759
336,Druha Liga,League,Ukraine,UA,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,59,0.2542372881355932,1213,0.012366035
334,Persha Liga,League,Ukraine,UA,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,59,0.2542372881355932,1213,0.012366035
333,Premier League,League,Ukraine,UA,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,59,0.2542372881355932,1213,0.012366035
301,Pro League,League,United-Arab-Emirates,AE,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,45,0.3333333333333333,1213,0.012366035
303,Division 1,League,United-Arab-Emirates,AE,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,45,0.3333333333333333,1213,0.012366035
302,League Cup,Cup,United-Arab-Emirates,AE,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,45,0.3333333333333333,199,0.075376884
269,Segunda División,League,Uruguay,UY,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
202,Ligue 1,League,Tunisia,TN,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
203,Süper Lig,League,Turkey,TR,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,105,0.14285714285714285,1213,0.012366035
204,1. Lig,League,Turkey,TR,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,105,0.14285714285714285,1213,0.012366035
205,2. Lig,League,Turkey,TR,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,105,0.14285714285714285,1213,0.012366035
206,Cup,Cup,Turkey,TR,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,105,0.14285714285714285,199,0.075376884
552,3. Lig - Group 1,League,Turkey,TR,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,105,0.14285714285714285,1213,0.012366035
